Date,Open,High,Low,Close,Adj Close,Volume
2016-07-27,30240.000000,30580.000000,30240.000000,30540.000000,1521.343140,6335050
2016-07-28,30660.000000,30720.000000,29960.000000,30140.000000,1501.417358,9503700
2016-07-29,30400.000000,31140.000000,30220.000000,30780.000000,1533.298828,14985600
2016-08-01,31380.000000,31600.000000,31200.000000,31360.000000,1562.191406,11515400
2016-08-02,31360.000000,31360.000000,30920.000000,30960.000000,1542.265381,8315800
2016-08-03,30960.000000,30960.000000,30340.000000,30340.000000,1511.380371,7504900
2016-08-04,30380.000000,30660.000000,30340.000000,30340.000000,1511.380371,7009950
2016-08-05,30580.000000,31280.000000,30500.000000,31220.000000,1555.217407,6958850
2016-08-08,31320.000000,31500.000000,31120.000000,31380.000000,1563.187744,11125150
2016-08-09,31480.000000,31580.000000,31140.000000,31340.000000,1561.195313,9023200
2016-08-10,31340.000000,31400.000000,30680.000000,30820.000000,1535.291382,12340350
2016-08-11,30820.000000,31180.000000,30520.000000,31180.000000,1553.224731,10533600
2016-08-12,31180.000000,31400.000000,30880.000000,30900.000000,1539.276733,10474850
2016-08-16,30900.000000,31520.000000,30900.000000,31360.000000,1562.191406,10843100
2016-08-17,31380.000000,31400.000000,31020.000000,31320.000000,1560.198975,7446450
2016-08-18,31340.000000,32880.000000,31320.000000,32800.000000,1633.924683,18327050
2016-08-19,32760.000000,33500.000000,32720.000000,33500.000000,1668.794922,16805150
2016-08-22,33480.000000,33840.000000,33180.000000,33300.000000,1658.832031,12612200
2016-08-23,33300.000000,33880.000000,33140.000000,33740.000000,1680.750488,11545700
2016-08-24,33600.000000,33640.000000,32720.000000,33060.000000,1646.876587,15938550
2016-08-25,32600.000000,33180.000000,32440.000000,32780.000000,1632.928345,14173800
2016-08-26,32120.000000,32460.000000,32060.000000,32240.000000,1606.028442,12058000
2016-08-29,32040.000000,32800.000000,31940.000000,32800.000000,1633.924683,8925750
2016-08-30,32940.000000,33420.000000,32660.000000,32900.000000,1638.906128,7849600
2016-08-31,32820.000000,32820.000000,32220.000000,32400.000000,1613.998779,20532200
2016-09-01,31660.000000,31760.000000,31260.000000,31740.000000,1581.120850,18790150
2016-09-02,31900.000000,32260.000000,31760.000000,31940.000000,1591.084106,8153000
2016-09-05,31800.000000,32300.000000,31700.000000,32120.000000,1600.050781,8383800
2016-09-06,32140.000000,32900.000000,31940.000000,32860.000000,1636.913574,7660150
2016-09-07,32960.000000,33040.000000,32420.000000,32420.000000,1614.995117,9591850
2016-09-08,32460.000000,32780.000000,32280.000000,32780.000000,1632.928345,12070850
2016-09-09,32220.000000,32360.000000,31280.000000,31500.000000,1569.165527,13258400
2016-09-12,29800.000000,30120.000000,29120.000000,29300.000000,1459.572876,26499350
2016-09-13,30160.000000,30980.000000,29900.000000,30540.000000,1521.343140,24717250
2016-09-19,30760.000000,31380.000000,30720.000000,31160.000000,1552.228516,22408150
2016-09-20,31180.000000,31760.000000,31180.000000,31700.000000,1579.128418,12921150
2016-09-21,31900.000000,32020.000000,31520.000000,31840.000000,1586.102295,10509050
2016-09-22,32000.000000,32820.000000,31980.000000,32360.000000,1612.006348,11429950
2016-09-23,31640.000000,31960.000000,31320.000000,31420.000000,1565.180176,18299650
2016-09-26,31420.000000,31920.000000,31280.000000,31360.000000,1562.191406,14524800
2016-09-27,31000.000000,31500.000000,30660.000000,31380.000000,1563.187744,9834400
2016-09-28,31080.000000,31460.000000,31080.000000,31340.000000,1561.195313,8706400
2016-09-29,31460.000000,32380.000000,31440.000000,32000.000000,1594.072998,11397550
2016-09-30,31800.000000,32300.000000,31700.000000,31960.000000,1592.080200,11762700
2016-10-04,32200.000000,32480.000000,32120.000000,32280.000000,1608.020996,13053100
2016-10-05,32020.000000,32520.000000,31940.000000,32380.000000,1613.002441,12470450
2016-10-06,33920.000000,34000.000000,33340.000000,33820.000000,1684.735596,29558150
2016-10-07,34000.000000,34320.000000,33800.000000,34120.000000,1699.680054,26050550
2016-10-10,33000.000000,33780.000000,32560.000000,33600.000000,1673.776611,25293300
2016-10-11,32000.000000,32500.000000,30900.000000,30900.000000,1539.276733,38427150
2016-10-12,29900.000000,30900.000000,29880.000000,30700.000000,1529.313721,39088550
2016-10-13,31000.000000,31620.000000,30900.000000,31140.000000,1551.232056,21864550
2016-10-14,30960.000000,31760.000000,30940.000000,31540.000000,1571.157959,14158950
2016-10-17,31300.000000,32040.000000,30760.000000,31800.000000,1584.109863,12785200
2016-10-18,31440.000000,31900.000000,31440.000000,31780.000000,1583.113647,10384500
2016-10-19,31580.000000,32860.000000,31500.000000,32500.000000,1618.980225,15444550
2016-10-20,32520.000000,33020.000000,32180.000000,32400.000000,1613.998779,10330450
2016-10-21,32120.000000,32260.000000,31760.000000,31780.000000,1583.113647,10477500
2016-10-24,31860.000000,32160.000000,31800.000000,32160.000000,1602.043091,9289950
2016-10-25,32000.000000,32080.000000,31840.000000,31940.000000,1591.084106,9866100
2016-10-26,31940.000000,31980.000000,31240.000000,31340.000000,1561.195313,10534000
2016-10-27,31420.000000,32340.000000,31120.000000,31460.000000,1567.172974,14117000
2016-10-28,31600.000000,32280.000000,31600.000000,32280.000000,1608.020996,10214200
2016-10-31,32320.000000,32780.000000,32220.000000,32780.000000,1632.928345,12067200
2016-11-01,32600.000000,33040.000000,32240.000000,33040.000000,1645.880249,10347400
2016-11-02,32800.000000,33040.000000,32620.000000,32860.000000,1636.913574,10099250
2016-11-03,32600.000000,32800.000000,32120.000000,32320.000000,1610.013550,10341850
2016-11-04,32100.000000,32680.000000,32100.000000,32540.000000,1620.973022,7103850
2016-11-07,32940.000000,33000.000000,32680.000000,32800.000000,1633.924683,7661900
2016-11-08,32980.000000,32980.000000,32700.000000,32880.000000,1637.910034,5417450
2016-11-09,32920.000000,33140.000000,31820.000000,31920.000000,1590.087769,15683600
2016-11-10,32600.000000,33000.000000,32360.000000,32980.000000,1642.891235,11795350
2016-11-11,31700.000000,32360.000000,31700.000000,31960.000000,1592.080200,12836800
2016-11-14,31900.000000,31920.000000,31040.000000,31060.000000,1547.247070,15133300
2016-11-15,31060.000000,31620.000000,30780.000000,30780.000000,1533.298828,13665700
2016-11-16,30800.000000,31280.000000,30800.000000,31160.000000,1552.228516,13308200
2016-11-17,31100.000000,31520.000000,30900.000000,31360.000000,1562.191406,7870550
2016-11-18,31640.000000,31760.000000,31400.000000,31720.000000,1580.124756,9460750
2016-11-21,31300.000000,32120.000000,31300.000000,31860.000000,1587.098999,8180200
2016-11-22,32140.000000,32900.000000,32000.000000,32800.000000,1633.924683,9751100
2016-11-23,33220.000000,33220.000000,32520.000000,32980.000000,1642.891235,12668600
2016-11-24,32980.000000,33040.000000,32660.000000,33000.000000,1643.887573,7757150
2016-11-25,32820.000000,33040.000000,32660.000000,33000.000000,1643.887573,6276900
2016-11-28,33000.000000,33620.000000,32800.000000,33540.000000,1670.787964,13294050
2016-11-29,33800.000000,33960.000000,33380.000000,33540.000000,1670.787964,18081300
2016-11-30,33540.000000,34940.000000,33540.000000,34920.000000,1739.531860,28535200
2016-12-01,34800.000000,35060.000000,34660.000000,34980.000000,1742.520752,15535350
2016-12-02,34480.000000,34760.000000,34140.000000,34540.000000,1720.602173,15352950
2016-12-05,34340.000000,34680.000000,34220.000000,34360.000000,1711.635742,8484600
2016-12-06,34440.000000,35200.000000,34400.000000,34960.000000,1741.524658,14001800
2016-12-07,35040.000000,35480.000000,35040.000000,35440.000000,1765.435425,9603650
2016-12-08,35980.000000,36020.000000,35520.000000,35800.000000,1783.368896,16462550
2016-12-09,35900.000000,35900.000000,35400.000000,35600.000000,1773.406128,10652450
2016-12-12,34660.000000,35360.000000,34660.000000,35040.000000,1745.509644,11414450
2016-12-13,34620.000000,35440.000000,34620.000000,35320.000000,1759.458008,11684450
2016-12-14,35560.000000,35680.000000,35280.000000,35540.000000,1770.417236,7455100
2016-12-15,34820.000000,35500.000000,34820.000000,35180.000000,1752.484131,5773550
2016-12-16,35300.000000,36020.000000,35200.000000,35860.000000,1786.357666,11747700
2016-12-19,35620.000000,36380.000000,35620.000000,35900.000000,1788.350586,5435800
2016-12-20,35920.000000,36400.000000,35840.000000,36240.000000,1805.287476,7615200
2016-12-21,36360.000000,36600.000000,36020.000000,36100.000000,1798.313232,6552100
2016-12-22,36260.000000,36300.000000,35980.000000,36180.000000,1802.298828,6354600
2016-12-23,36020.000000,36080.000000,35600.000000,35640.000000,1775.398682,8334850
2016-12-26,35600.000000,36000.000000,35560.000000,35960.000000,1791.339478,4823600
2016-12-27,35980.000000,36200.000000,35860.000000,35980.000000,1792.335571,4653450
2016-12-28,35840.000000,35980.000000,35600.000000,35760.000000,7558.246094,6662900
2016-12-29,35420.000000,36040.000000,35400.000000,36040.000000,7617.426758,7516450
2017-01-02,35980.000000,36240.000000,35880.000000,36100.000000,7630.107910,4650600
2017-01-03,36280.000000,36620.000000,36020.000000,36480.000000,7710.425293,7357650
2017-01-04,36500.000000,36520.000000,36100.000000,36160.000000,7642.790527,7971750
2017-01-05,36060.000000,36060.000000,35540.000000,35560.000000,7515.973145,10967450
2017-01-06,36180.000000,36440.000000,36040.000000,36200.000000,7651.245117,8880950
2017-01-09,36600.000000,37500.000000,36560.000000,37220.000000,7866.832031,13194900
2017-01-10,37280.000000,37400.000000,37080.000000,37240.000000,7871.059570,9099800
2017-01-11,37520.000000,38560.000000,37420.000000,38280.000000,8090.874512,12018150
2017-01-12,38000.000000,38800.000000,37980.000000,38800.000000,8200.782227,11669150
2017-01-13,38100.000000,38320.000000,37460.000000,37460.000000,7917.558105,15954450
2017-01-16,36860.000000,37820.000000,36320.000000,36660.000000,7748.470215,16611500
2017-01-17,36580.000000,37460.000000,36580.000000,36960.000000,7811.878418,8150700
2017-01-18,37040.000000,37500.000000,36620.000000,36940.000000,7807.651367,8875400
2017-01-19,37720.000000,37920.000000,37020.000000,37480.000000,7921.786133,9418900
2017-01-20,37120.000000,37420.000000,36880.000000,37200.000000,7862.604004,9185000
2017-01-23,37200.000000,38060.000000,37000.000000,38060.000000,8044.374512,8810400
2017-01-24,38120.000000,38580.000000,37880.000000,38160.000000,8065.510742,11048750
2017-01-25,38340.000000,39400.000000,38320.000000,39400.000000,8327.597656,13433850
2017-01-26,39420.000000,40000.000000,39420.000000,39900.000000,8433.277344,15214500
2017-01-31,39900.000000,39900.000000,39460.000000,39460.000000,8340.279297,17992200
2017-02-01,39540.000000,39660.000000,39040.000000,39120.000000,8268.416992,14150400
2017-02-02,39600.000000,39660.000000,39200.000000,39360.000000,8319.143555,15029300
2017-02-03,39400.000000,39500.000000,39180.000000,39460.000000,8340.279297,10386350
2017-02-06,39580.000000,39660.000000,39140.000000,39560.000000,8361.416016,8860700
2017-02-07,39560.000000,39580.000000,38760.000000,38820.000000,8205.007813,14041800
2017-02-08,38740.000000,38780.000000,38200.000000,38400.000000,8116.237305,17092950
2017-02-09,38780.000000,38840.000000,38220.000000,38400.000000,8116.237305,13694150
2017-02-10,38400.000000,38760.000000,38300.000000,38360.000000,8107.782715,11020750
2017-02-13,37740.000000,38060.000000,37720.000000,37960.000000,8023.238770,11102050
2017-02-14,37960.000000,38260.000000,37320.000000,37580.000000,7942.922363,13124150
2017-02-15,37080.000000,37960.000000,37080.000000,37720.000000,7972.512207,14191550
2017-02-16,37800.000000,38360.000000,37780.000000,38020.000000,8035.920410,10226350
2017-02-17,37560.000000,38040.000000,37280.000000,37860.000000,8002.103027,15377450
2017-02-20,38220.000000,38780.000000,38160.000000,38660.000000,8171.190430,7485800
2017-02-21,38540.000000,39560.000000,38420.000000,38940.000000,8230.370117,10562600
2017-02-22,39000.000000,39340.000000,38980.000000,39300.000000,8306.460938,8539450
2017-02-23,39020.000000,39440.000000,39020.000000,39180.000000,8281.098633,10217300
2017-02-24,38960.000000,39100.000000,38060.000000,38220.000000,8078.191406,9296850
2017-02-27,38020.000000,38140.000000,37700.000000,38060.000000,8044.374512,9033700
2017-02-28,38060.000000,38760.000000,37960.000000,38440.000000,8124.691895,15088700
2017-03-02,38420.000000,39860.000000,38420.000000,39720.000000,8395.233398,21249800
2017-03-03,39340.000000,39720.000000,39160.000000,39620.000000,8374.096680,12708700
2017-03-06,39220.000000,40220.000000,39220.000000,40080.000000,8471.323242,12234850
2017-03-07,39800.000000,40320.000000,39800.000000,40200.000000,8496.686523,10553250
2017-03-08,40200.000000,40620.000000,40140.000000,40200.000000,8496.686523,12140950
2017-03-09,40200.000000,40300.000000,40020.000000,40200.000000,8496.686523,14372250
2017-03-10,39960.000000,40420.000000,39860.000000,40180.000000,8492.458008,10227800
2017-03-13,40040.000000,40980.000000,40040.000000,40600.000000,8581.230469,7424100
2017-03-14,40620.000000,41540.000000,40500.000000,41360.000000,8741.863281,11325050
2017-03-15,40800.000000,41440.000000,40800.000000,41400.000000,8750.318359,9587850
2017-03-16,41800.000000,42180.000000,41540.000000,41840.000000,8843.317383,9933150
2017-03-17,41800.000000,42500.000000,41720.000000,42400.000000,8961.678711,12602300
2017-03-20,42000.000000,42120.000000,41740.000000,41900.000000,8855.999023,10250050
2017-03-21,41780.000000,42680.000000,41760.000000,42560.000000,8995.496094,14220150
2017-03-22,41600.000000,42460.000000,41580.000000,42460.000000,8974.361328,16427250
2017-03-23,42200.000000,42360.000000,41700.000000,41800.000000,8834.862305,15397100
2017-03-24,41600.000000,41980.000000,41080.000000,41500.000000,8771.455078,12808150
2017-03-27,41200.000000,41880.000000,41180.000000,41200.000000,8708.045898,12177650
2017-03-28,41560.000000,41840.000000,41380.000000,41480.000000,8767.227539,8216250
2017-03-29,41740.000000,41960.000000,41580.000000,41780.000000,8830.635742,10093250
2017-03-30,41880.000000,42440.000000,41880.000000,41980.000000,10658.712891,8204000
2017-03-31,41820.000000,42020.000000,41200.000000,41200.000000,10460.670898,10500300
2017-04-03,41400.000000,41720.000000,41300.000000,41440.000000,10521.607422,9579400
2017-04-04,41600.000000,42180.000000,41520.000000,42080.000000,10684.102539,12255500
2017-04-05,41900.000000,42240.000000,41700.000000,42140.000000,10699.337891,10699700
2017-04-06,42000.000000,42080.000000,41600.000000,41840.000000,10623.167969,9683400
2017-04-07,41800.000000,41820.000000,41160.000000,41600.000000,10562.230469,10021000
2017-04-10,41940.000000,41940.000000,41500.000000,41940.000000,10648.557617,7141350
2017-04-11,41940.000000,41940.000000,41580.000000,41600.000000,10562.230469,7172900
2017-04-12,41860.000000,41940.000000,41700.000000,41900.000000,10638.403320,8274900
2017-04-13,41660.000000,42460.000000,41660.000000,42420.000000,10770.429688,9040800
2017-04-14,42160.000000,42260.000000,41760.000000,42020.000000,10668.869141,5462850
2017-04-17,42000.000000,42080.000000,41520.000000,41560.000000,10552.074219,5224750
2017-04-18,41680.000000,41820.000000,41280.000000,41500.000000,10536.841797,6860650
2017-04-19,41300.000000,41420.000000,40900.000000,40900.000000,10384.501953,11762900
2017-04-20,40580.000000,40800.000000,40080.000000,40280.000000,10227.083984,21148850
2017-04-21,40480.000000,41400.000000,40480.000000,40760.000000,10348.956055,15130500
2017-04-24,41260.000000,41260.000000,40920.000000,41240.000000,10470.827148,8990150
2017-04-25,41460.000000,42740.000000,41320.000000,42700.000000,10841.520508,19299600
2017-04-26,42700.000000,42800.000000,42520.000000,42800.000000,10866.912109,14794800
2017-04-27,42700.000000,44520.000000,41960.000000,43840.000000,11130.968750,23032250
2017-04-28,45780.000000,45800.000000,44520.000000,44620.000000,11329.008789,22685700
2017-05-02,45500.000000,45500.000000,44760.000000,44900.000000,11400.101563,14068300
2017-05-04,45700.000000,45700.000000,44860.000000,45520.000000,11557.518555,13690100
2017-05-08,45520.000000,47020.000000,45340.000000,47020.000000,11938.369141,19582550
2017-05-10,46160.000000,47220.000000,45600.000000,45600.000000,11577.831055,23410950
2017-05-11,45420.000000,46180.000000,45220.000000,45500.000000,11552.443359,21277850
2017-05-12,45760.000000,46160.000000,45660.000000,45820.000000,11633.687500,9422900
2017-05-15,45620.000000,46280.000000,45620.000000,46100.000000,11704.781250,8001400
2017-05-16,46660.000000,46800.000000,46100.000000,46380.000000,11775.874023,8803750
2017-05-17,46120.000000,46640.000000,46100.000000,46340.000000,11765.715820,7424450
2017-05-18,45740.000000,46000.000000,45540.000000,45940.000000,11664.158203,11160350
2017-05-19,45640.000000,45780.000000,44720.000000,44720.000000,11354.399414,15762350
2017-05-22,45040.000000,45380.000000,44760.000000,45100.000000,11450.879883,17643550
2017-05-23,45400.000000,45580.000000,44900.000000,44920.000000,11405.178711,12607050
2017-05-24,44860.000000,45300.000000,44800.000000,44880.000000,11395.021484,8675400
2017-05-25,45160.000000,45680.000000,44800.000000,45680.000000,11598.141602,13044800
2017-05-26,45600.000000,46460.000000,45540.000000,46080.000000,11699.704102,13613650
2017-05-29,46220.000000,46400.000000,45380.000000,45620.000000,11582.909180,8739550
2017-05-30,45520.000000,45660.000000,44480.000000,44640.000000,11334.086914,12433600
2017-05-31,44580.000000,45020.000000,44400.000000,44700.000000,11349.320313,18669100
2017-06-01,44860.000000,44900.000000,44400.000000,44680.000000,11344.243164,9753500
2017-06-02,45060.000000,45960.000000,45000.000000,45960.000000,11669.235352,12488750
2017-06-05,46040.000000,46360.000000,45720.000000,45940.000000,11664.158203,7599400
2017-06-07,46500.000000,46500.000000,45240.000000,45300.000000,11501.661133,13729400
2017-06-08,45000.000000,45580.000000,45000.000000,45160.000000,11466.115234,13978750
2017-06-09,45680.000000,46440.000000,45600.000000,46100.000000,11704.781250,11732850
2017-06-12,45420.000000,45600.000000,45140.000000,45380.000000,11521.971680,10954300
2017-06-13,45140.000000,45620.000000,45140.000000,45400.000000,11527.049805,8624900
2017-06-14,45800.000000,46060.000000,45240.000000,45360.000000,11516.894531,10166700
2017-06-15,45680.000000,45920.000000,45180.000000,45680.000000,11598.141602,9657000
2017-06-16,45500.000000,45940.000000,45460.000000,45580.000000,11572.751953,17403450
2017-06-19,45580.000000,46560.000000,45560.000000,46560.000000,11821.573242,11303900
2017-06-20,47240.000000,48140.000000,47220.000000,48140.000000,12222.738281,15045000
2017-06-21,47740.000000,48120.000000,47480.000000,47480.000000,12055.160156,9973650
2017-06-22,47960.000000,48080.000000,47720.000000,47960.000000,12177.034180,11455800
2017-06-23,47600.000000,47780.000000,47420.000000,47620.000000,12090.707031,9515100
2017-06-26,47520.000000,48360.000000,47520.000000,48280.000000,12258.283203,8552800
2017-06-27,48220.000000,48400.000000,47900.000000,48300.000000,12263.361328,9616750
2017-06-28,47600.000000,48000.000000,47560.000000,47700.000000,12111.021484,9572500
2017-06-29,48040.000000,48320.000000,47940.000000,47940.000000,14265.413086,8306550
2017-06-30,47500.000000,47620.000000,47100.000000,47540.000000,14146.386719,11877550
2017-07-03,47500.000000,47780.000000,47120.000000,47220.000000,14051.163086,6805550
2017-07-04,47160.000000,47400.000000,46900.000000,47000.000000,13985.698242,7961000
2017-07-05,46820.000000,47680.000000,46780.000000,47580.000000,14158.289063,10640250
2017-07-06,48000.000000,48100.000000,47720.000000,48060.000000,14301.121094,10923050
2017-07-07,47740.000000,48120.000000,47620.000000,47860.000000,14241.607422,8131900
2017-07-10,48500.000000,48900.000000,48320.000000,48660.000000,14479.662109,10792750
2017-07-11,48640.000000,49000.000000,48280.000000,49000.000000,14580.835938,9717800
2017-07-12,49000.000000,50000.000000,48840.000000,49880.000000,14842.694336,9486150
2017-07-13,50080.000000,50940.000000,50040.000000,50560.000000,15045.041992,16034150
2017-07-14,51000.000000,51080.000000,50420.000000,50480.000000,15021.237305,8239000
2017-07-17,50900.000000,51020.000000,50520.000000,50640.000000,15068.846680,8976100
2017-07-18,50420.000000,50880.000000,50360.000000,50840.000000,15128.360352,7084450
2017-07-19,50620.000000,50820.000000,50000.000000,50740.000000,15098.602539,11157500
2017-07-20,50760.000000,51320.000000,50560.000000,51200.000000,15235.484375,8367600
2017-07-21,50860.000000,51160.000000,50520.000000,51080.000000,15199.777344,8449050
2017-07-24,50700.000000,51000.000000,50620.000000,50860.000000,15134.311523,7099750
2017-07-25,50500.000000,50760.000000,49940.000000,50000.000000,14878.403320,10810600
2017-07-26,49600.000000,50020.000000,49300.000000,49840.000000,14830.792969,11224800
2017-07-27,50000.000000,50640.000000,49560.000000,49800.000000,14818.889648,11449500
2017-07-28,49800.000000,49800.000000,47380.000000,47760.000000,14211.850586,26168300
2017-07-31,47420.000000,48240.000000,46920.000000,48200.000000,14342.781250,12701400
2017-08-01,48000.000000,48840.000000,47540.000000,48600.000000,14461.808594,11369500
2017-08-02,49200.000000,49340.000000,48600.000000,49000.000000,14580.835938,7777450
2017-08-03,49000.000000,49000.000000,47120.000000,47780.000000,14217.800781,15540800
2017-08-04,48160.000000,48180.000000,47500.000000,47700.000000,14193.996094,8359200
2017-08-07,47500.000000,48080.000000,47440.000000,47580.000000,14158.289063,7218250
2017-08-08,47980.000000,48260.000000,47480.000000,47720.000000,14199.946289,7979600
2017-08-09,47400.000000,47400.000000,46240.000000,46280.000000,13771.450195,14555400
2017-08-10,46200.000000,46320.000000,45460.000000,45900.000000,13658.374023,22986150
2017-08-11,45120.000000,45300.000000,44220.000000,44620.000000,13277.488281,25407300
2017-08-14,45120.000000,45400.000000,44720.000000,45000.000000,13390.561523,19185600
2017-08-16,46220.000000,46380.000000,46000.000000,46200.000000,13747.644531,21913650
2017-08-17,46960.000000,47300.000000,46740.000000,47040.000000,13997.601563,12415850
2017-08-18,46760.000000,47240.000000,46240.000000,46900.000000,13955.942383,10477950
2017-08-21,47240.000000,47240.000000,46580.000000,46840.000000,13938.087891,5103450
2017-08-22,46820.000000,47160.000000,46700.000000,47000.000000,13985.698242,7381750
2017-08-23,47780.000000,47780.000000,47180.000000,47480.000000,14128.532227,9384700
2017-08-24,47520.000000,47660.000000,47340.000000,47520.000000,14140.432617,8657450
2017-08-25,47880.000000,47880.000000,46720.000000,47020.000000,13991.649414,11243550
2017-08-28,47020.000000,47240.000000,45960.000000,46100.000000,13717.886719,9962100
2017-08-29,45640.000000,46080.000000,45160.000000,46080.000000,13711.936523,12623650
2017-08-30,46380.000000,46400.000000,45960.000000,46200.000000,13747.644531,7513000
2017-08-31,46220.000000,46640.000000,46000.000000,46320.000000,13783.351563,11011700
2017-09-01,46460.000000,46640.000000,46300.000000,46480.000000,13830.963867,10641700
2017-09-04,45780.000000,46360.000000,45500.000000,46040.000000,13700.033203,7943500
2017-09-05,46240.000000,46900.000000,45960.000000,46760.000000,13914.282227,11716100
2017-09-06,46760.000000,47180.000000,46700.000000,47000.000000,13985.698242,10811050
2017-09-07,47000.000000,48220.000000,47000.000000,48120.000000,14318.975586,9676500
2017-09-08,48700.000000,49180.000000,48580.000000,49080.000000,14604.640625,10893000
2017-09-11,49700.000000,50180.000000,49500.000000,49800.000000,14818.889648,10374750
2017-09-12,50200.000000,50220.000000,49140.000000,49600.000000,14759.376953,12029750
2017-09-13,49820.000000,50400.000000,49440.000000,49620.000000,14765.328125,9357000
2017-09-14,50060.000000,50320.000000,49760.000000,50300.000000,14967.673828,14204750
2017-09-15,50300.000000,50560.000000,49860.000000,50400.000000,14997.430664,10757300
2017-09-18,50540.000000,52480.000000,50520.000000,52480.000000,15616.373047,11524950
2017-09-19,52500.000000,52640.000000,51780.000000,52120.000000,15509.249023,9850400
2017-09-20,52120.000000,52500.000000,51840.000000,52220.000000,15539.004883,9292750
2017-09-21,52220.000000,52960.000000,52220.000000,52800.000000,15711.593750,8839800
2017-09-25,53000.000000,53680.000000,53000.000000,53620.000000,15955.597656,9303100
2017-09-26,53620.000000,53620.000000,53620.000000,53620.000000,15955.597656,0
2017-09-27,52000.000000,52200.000000,51500.000000,51680.000000,15378.317383,10797000
2017-09-28,52260.000000,52460.000000,51260.000000,51260.000000,17643.074219,12025450
2017-09-29,51180.000000,51620.000000,50840.000000,51280.000000,17649.957031,12909400
2017-10-10,53360.000000,53640.000000,52800.000000,52800.000000,18173.123047,20519800
2017-10-11,53600.000000,54760.000000,53340.000000,54640.000000,18806.429688,13652150
2017-10-12,54840.000000,55160.000000,54100.000000,54800.000000,18861.500000,13890700
2017-10-13,54540.000000,54840.000000,53780.000000,54000.000000,18586.150391,12601650
2017-10-16,53980.000000,54860.000000,53760.000000,53920.000000,18558.615234,9769950
2017-10-17,54020.000000,55380.000000,54000.000000,54800.000000,18861.500000,10607800
2017-10-18,54820.000000,55240.000000,54040.000000,54760.000000,18847.732422,10110750
2017-10-19,54700.000000,54700.000000,52980.000000,52980.000000,18235.078125,12108700
2017-10-20,52800.000000,54100.000000,52800.000000,53840.000000,18531.080078,8027050
2017-10-23,54600.000000,54640.000000,54000.000000,54300.000000,18689.406250,8311050
2017-10-24,54700.000000,54780.000000,54040.000000,54040.000000,18599.916016,5806050
2017-10-25,54040.000000,54420.000000,53700.000000,53900.000000,18551.730469,5882850
2017-10-26,53720.000000,53900.000000,52400.000000,52400.000000,18035.447266,9776550
2017-10-27,52400.000000,53320.000000,52140.000000,53080.000000,18269.498047,7392500
2017-10-30,53780.000000,54320.000000,53700.000000,54040.000000,18599.916016,8196150
2017-10-31,54060.000000,55440.000000,53500.000000,55080.000000,18957.871094,13381550
2017-11-01,57500.000000,57500.000000,56180.000000,57220.000000,19694.433594,14510250
2017-11-02,57500.000000,57520.000000,56760.000000,57060.000000,19639.365234,10721050
2017-11-03,57060.000000,57140.000000,55860.000000,56380.000000,19405.316406,9935800
2017-11-06,56380.000000,56500.000000,55340.000000,56380.000000,19405.316406,9000950
2017-11-07,56380.000000,56920.000000,55860.000000,56100.000000,19308.943359,7464550
2017-11-08,56100.000000,57060.000000,55860.000000,56760.000000,19536.107422,8520200
2017-11-09,56920.000000,56920.000000,55900.000000,56340.000000,19391.548828,11994050
2017-11-10,55800.000000,56540.000000,55780.000000,56400.000000,19412.201172,6748800
2017-11-13,56400.000000,56800.000000,56100.000000,56380.000000,19405.316406,8806650
2017-11-14,56380.000000,56740.000000,55920.000000,55920.000000,19246.990234,6725000
2017-11-15,55920.000000,56320.000000,55320.000000,55340.000000,19047.361328,8816950
2017-11-16,null,null,null,null,null,null
2017-11-17,56400.000000,56880.000000,55820.000000,55820.000000,19212.572266,10733150
2017-11-20,55900.000000,55980.000000,55200.000000,55200.000000,18999.175781,9472750
2017-11-21,55400.000000,55840.000000,55280.000000,55280.000000,19026.710938,10324700
2017-11-22,55980.000000,56200.000000,55620.000000,55960.000000,19260.757813,7952950
2017-11-23,null,null,null,null,null,null
2017-11-24,55300.000000,55500.000000,55180.000000,55460.000000,19088.662109,4536200
2017-11-27,55360.000000,55360.000000,52640.000000,52640.000000,18118.052734,18128900
2017-11-28,52700.000000,53280.000000,51720.000000,53280.000000,18338.333984,13499400
2017-11-29,53200.000000,53240.000000,52500.000000,52600.000000,18104.287109,9590250
2017-11-30,50800.000000,51860.000000,50200.000000,50800.000000,17484.748047,29634150
2017-12-01,50800.000000,51780.000000,50800.000000,50840.000000,17498.515625,12868600
2017-12-04,50840.000000,51340.000000,50020.000000,51340.000000,17670.611328,14865050
2017-12-05,50600.000000,51300.000000,50280.000000,51260.000000,17643.074219,9326550
2017-12-06,51260.000000,51560.000000,50020.000000,50020.000000,17216.283203,10889200
2017-12-07,50040.000000,50980.000000,50020.000000,50740.000000,17464.097656,11065600
2017-12-08,51360.000000,52000.000000,51040.000000,52000.000000,17897.773438,11290450
2017-12-11,52000.000000,52040.000000,51500.000000,51780.000000,17822.052734,8125850
2017-12-12,51820.000000,52100.000000,51660.000000,52100.000000,17932.193359,8765050
2017-12-13,52100.000000,52100.000000,51100.000000,51320.000000,17663.726563,11333700
2017-12-14,51320.000000,52280.000000,51060.000000,51060.000000,17574.236328,20310400
2017-12-15,51240.000000,51480.000000,50520.000000,50620.000000,17422.794922,14928550
2017-12-18,50620.000000,51240.000000,50620.000000,51200.000000,17622.421875,7350250
